,city,cloudiness,country,humidity,lat,number,temp,windspeed,request url
0,Faanui,56,PF,97,-16.48,4034551,83.33,13.31,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Faanui
1,Porto Walter,48,BR,82,-8.27,3662761,81.35,1.68,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Porto Walter
2,Tamandare,20,BR,56,-8.28,3661980,93.2,2.24,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Tamandare
3,Madimba,40,CM,100,4.42,2221046,77.0,2.24,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Madimba
4,Bukama,12,CD,81,-9.2,217834,73.25,3.91,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Bukama
5,Lata,64,IN,83,30.78,1253628,48.91,2.35,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Lata
6,Atuona,88,PF,100,-9.8,4020109,80.45,16.67,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Atuona
7,Merauke,48,ID,100,-8.49,2082539,78.74,5.7,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Merauke
8,Jamestown,0,AU,85,-33.21,2069194,41.71,3.58,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Jamestown
9,Puerto Ayora,75,EC,74,-0.74,3652764,80.6,12.75,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Puerto Ayora
10,Kamina,20,CD,85,-8.74,214614,69.61,3.8,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Kamina
11,Matamba,56,CD,96,-5.95,214481,70.51,3.36,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Matamba
12,Porto Velho,75,BR,66,-8.75,3662762,86.0,1.12,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Porto Velho
13,Bambanglipuro,12,ID,100,-7.95,1650434,69.38,2.13,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Bambanglipuro
14,Mpulungu,88,ZM,88,-8.77,175961,64.84,5.14,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Mpulungu
15,Aripuana,32,BR,83,-9.17,3665202,82.61,2.24,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Aripuana
16,Morros,88,BR,81,-2.87,3398381,80.99,6.15,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Morros
17,Kawalu,44,ID,95,-7.38,1640902,63.89,1.68,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Kawalu
18,Malinyi,76,TZ,99,-8.94,155016,69.16,1.45,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Malinyi
19,Nhulunbuy,8,AU,94,-12.18,2064735,78.8,4.7,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Nhulunbuy
20,Victoria,75,BN,94,5.28,1733782,78.8,4.7,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Victoria
21,Maningrida,0,AU,84,-12.05,2067089,81.98,4.14,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Maningrida
22,Agua Branca,20,BR,85,-5.89,3408221,78.74,1.79,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Agua Branca
23,Bima,0,ID,100,-8.45,1648759,72.71,2.68,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Bima
24,Hithadhoo,80,MV,100,-0.6,1282256,84.77,7.72,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Hithadhoo
25,Mitsamiouli,75,KM,78,-11.38,921786,82.4,2.24,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Mitsamiouli
26,Sao Jose da Coroa Grande,56,BR,95,-8.9,3388456,77.71,6.38,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Sao Jose da Coroa Grande
27,Georgetown,75,GY,88,6.8,3378644,78.8,4.7,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Georgetown
28,Lufilufi,40,WS,70,-13.87,4035249,87.8,6.93,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Lufilufi
29,Alta Floresta,20,BR,55,-9.87,6316343,89.6,1.12,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Alta Floresta
30,Lindi,92,TZ,93,-10.0,878281,74.87,3.58,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Lindi
31,Padang,68,ID,100,-0.92,1633419,77.12,0.67,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Padang
32,Olinda,40,EC,59,-2.03,3650121,89.6,6.93,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Olinda
33,Conceicao do Araguaia,40,BR,74,-8.26,3401845,84.2,2.24,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Conceicao do Araguaia
34,Morehead,90,US,81,38.18,4301307,44.6,3.36,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Morehead
35,Manoel Urbano,12,BR,72,-8.84,3663495,85.58,2.35,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Manoel Urbano
36,Soyo,88,AO,96,-6.13,2236967,78.47,4.7,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Soyo
37,Labuhan,12,ID,98,-2.54,1641899,69.38,2.13,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Labuhan
38,Tevaitoa,56,PF,100,-16.78,4033375,81.71,13.65,http://api.openweathermap.org/data/2.5/weather?appid=cc2673f85c7bc99711220b176e68a8e6&units=imperial&q=Tevaitoa
